id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3g7bn09uvp9jkMAW0jXOms,church,5,65,308000,0.491,0.416,0,-6.801,1,0.0289,0.0512,0.0,0.0947,0.0977,136.943,3
2MobJagQB0dGJoRqI8OT0m,church,5,66,256933,0.459,0.561,7,-7.091,1,0.0271,0.0839,0.0,0.0998,0.306,144.783,4
1AtwsVXr1zaZf4YgIEOlDK,church,5,53,348800,0.384,0.493,2,-8.718,1,0.0382,0.0164,0.0,0.101,0.0601,143.711,4
0eI19vR5WZ12fuYcEFUVkw,church,5,65,258453,0.516,0.905,11,-5.613,1,0.0399,0.000479,0.0,0.198,0.612,129.999,4
6WSFMa721PvfnspCRsGOMh,church,5,63,318693,0.217,0.466,0,-6.156,1,0.0346,0.0167,2.58e-05,0.152,0.173,149.398,3
6iha1ZUpCGUJrrQLDSFYux,church,5,63,289747,0.457,0.362,0,-8.843,1,0.0279,0.637,2.77e-05,0.105,0.153,134.835,3
48LRu8wJeDbUaAlZMg7fBF,church,5,60,333053,0.452,0.318,4,-7.1,1,0.0318,0.87,3e-05,0.277,0.201,135.889,4
2elEVvWjPZltkotzcCwKvM,church,5,64,514665,0.411,0.562,11,-8.152,1,0.0362,0.0407,0.0,0.222,0.197,140.015,4
398Dfg7EisARPcvixgrtuI,church,5,63,249242,0.486,0.302,2,-10.72,1,0.0332,0.772,0.0,0.073,0.45,79.258,4
5KXVeVXTMuCJnkK8YSC3FC,church,5,64,393200,0.381,0.161,0,-12.915,1,0.0369,0.84,0.0,0.143,0.356,135.813,4
2lUgap86Pux7qAgvWzuJWs,church,5,61,329080,0.269,0.666,6,-6.048,1,0.0362,0.000278,0.0,0.609,0.226,171.722,3
2RuUAwOz2vyArTaiMQUL7j,church,5,64,242401,0.449,0.67,7,-6.409,0,0.0458,0.299,0.0,0.0881,0.21,171.947,4
2p3qr3HQBgsjeE5rFobSDy,church,5,65,564423,0.242,0.604,2,-6.788,1,0.0394,0.245,0.0,0.451,0.461,207.553,3
7yu4816uyIqXiPvALxL44y,church,5,65,598995,0.335,0.639,3,-6.598,1,0.0369,0.265,0.0,0.107,0.381,139.912,4
4Hrr4U80Rk1tWXlP8RFTAb,church,5,61,401760,0.428,0.627,0,-6.307,1,0.0306,0.012,0.0,0.56,0.17,142.063,4
1gj9poFl2mLKkguqWo5Y1i,church,5,68,296400,0.466,0.67,8,-4.701,1,0.0297,0.155,0.0,0.145,0.395,126.142,4
4F7GcPH79KzsQfNphjtkGx,church,5,60,176453,0.675,0.814,0,-5.816,1,0.0347,0.125,0.0,0.163,0.607,103.989,4
6LKjIAHCnZjaB4BfEIFHrW,church,5,57,424755,0.571,0.736,9,-5.633,1,0.0341,0.00056,0.0,0.494,0.105,121.985,4
7mj5fT0Biju5jR41m9ghUl,church,5,0,299366,0.438,0.529,9,-9.224,1,0.0324,0.0113,0.0,0.109,0.395,136.147,4
0Ck8Iw5OM5Ag8q2CjBqjrV,church,5,57,410509,0.505,0.821,11,-6.733,1,0.0476,0.027,0.0,0.935,0.25,124.015,3
2oIFaafMda5ATaMr2b9pK8,church,5,61,293440,0.445,0.0882,5,-15.894,1,0.0383,0.95,1.1e-06,0.0675,0.228,137.175,4
0cXV6AoJBnrnrXK0toJHpB,church,5,68,337560,0.237,0.224,11,-10.002,1,0.0329,0.635,0.0,0.0999,0.164,155.628,3
72b0ANL1ZiV71OiZRs0Lny,church,5,0,274693,0.494,0.637,5,-6.381,1,0.0333,0.669,0.0,0.0882,0.1,147.924,4
2JEcE2v4tOpKzVZFjpLR59,church,5,0,259293,0.445,0.522,7,-5.904,1,0.0305,0.0354,0.0,0.109,0.168,75.977,4
6oizwmD5yHvlQUw0xvirrY,church,5,63,223348,0.495,0.695,8,-6.331,1,0.0374,0.4,0.0,0.088,0.473,153.882,4
5O306r2a9Nl7rm5ZlaTqka,church,5,66,507307,0.416,0.583,11,-7.994,1,0.037,0.0383,0.0,0.116,0.185,140.001,4
3paOSlqrFcMhdGDZ5513AJ,church,5,71,181453,0.647,0.376,7,-5.299,1,0.0273,0.228,0.0,0.158,0.7,137.863,4
5ad2hlnBi2DWmy8GHVQDis,church,5,65,143360,0.6,0.592,4,-3.401,0,0.03,0.576,0.0,0.215,0.73,153.932,4
2UDoZZSrs3NxlmvFZbffr4,church,5,72,231173,0.568,0.453,10,-5.061,1,0.0284,0.317,0.0,0.121,0.508,162.129,4
6RruB10Yvw1uCHHSIku5qW,church,5,67,157040,0.608,0.562,7,-2.617,1,0.0263,0.538,0.0,0.112,0.58,130.034,4
63bmZnBN1CiJ9sA4qTEe8y,church,5,80,199320,0.433,0.431,2,-6.422,1,0.0367,0.169,0.0,0.307,0.722,177.732,4
6SnO4yCCYtz2rffMpEAlro,church,5,74,176347,0.626,0.47,0,-2.984,1,0.0316,0.522,0.0,0.201,0.825,140.046,3
3LSna6W1dRf2QbsUgmRoFf,church,5,59,304829,0.363,0.542,0,-5.644,1,0.0322,0.00446,7.51e-05,0.332,0.25,130.82,4
6Z31l856yEwyJqSBe3qLZ4,church,5,58,327653,0.49,0.51,0,-9.141,1,0.0368,0.628,0.0,0.967,0.197,90.307,4
57grEwbGqJc0XNXrV0O4Bs,church,5,48,193600,0.658,0.287,0,-14.057,1,0.0293,0.764,0.000915,0.0784,0.52,120.053,4
6BXej1JXrPgRIZQSRTK1rC,church,5,47,169973,0.54,0.262,7,-15.003,1,0.0298,0.688,2.14e-06,0.0933,0.493,109.848,4
5PmHmU5AaBy9ld3bdQkD96,church,5,59,393360,0.451,0.688,0,-7.843,1,0.0358,0.000614,0.0,0.141,0.0827,135.066,4
57ifvUopbuDoMNpgSD6PzV,church,5,51,232853,0.637,0.547,3,-8.637,1,0.0364,0.315,0.0,0.132,0.479,137.99,4
7wEIEqxdeyuvyVRwxMne33,church,5,46,310613,0.672,0.311,1,-8.427,0,0.0269,0.403,0.0,0.152,0.158,109.929,4
6TuE408iM4JvCXtGSBg1JA,church,4,60,429332,0.473,0.445,4,-9.815,1,0.0372,0.168,1.43e-06,0.221,0.192,130.001,4
3OqucjwU8VsOF6AzSd1XHi,church,4,51,582315,0.427,0.736,0,-2.624,1,0.0366,0.438,6.72e-06,0.0706,0.119,134.002,4
3h3fui1QXImL2zRcs9v2Lc,church,4,70,562388,0.327,0.731,8,-5.821,1,0.0398,0.322,8.66e-06,0.267,0.0792,132.76,4
18Bgya13bGqmHGLRdyaBdu,church,4,55,220827,0.392,0.44,4,-6.711,1,0.0282,0.449,0.0,0.118,0.166,143.921,4
5AcdaSVQfLcUKMaqchfBie,church,4,63,224169,0.545,0.805,0,-5.792,1,0.0491,0.0326,0.0,0.781,0.727,110.005,4
4bHsxqR3GMrXTxEPLuK5ue,education,8,84,250987,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,4
08mG3Y1vljYA6bvDt4Wqkj,education,7,86,255493,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
0cMcFcm3YvB8o1yKkYNv0a,education,6,63,274291,0.55,0.205,4,-11.732,1,0.0292,0.922,0.00773,0.0816,0.261,125.766,4
3PgjBOoA5OytNGkglObpOd,education,6,70,288189,0.311,0.342,2,-8.889,1,0.032,0.432,1.93e-06,0.114,0.274,177.158,4
19JzJOMs4wkuKxY8WEOMea,education,6,67,122704,0.79,0.133,8,-9.365,1,0.0915,0.875,0.808,0.111,0.422,69.997,4
2374M0fQpWi3dLnB54qaLX,education,6,85,295893,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4
2zYzyRzz6pRmhPzyfMEC8s,education,6,86,208400,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
57bgtoPSgt236HzfBOd8kj,education,6,85,292880,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4
6VzcQuzTNTMFnJ6rBSaLH9,education,5,82,377960,0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,4
6mzQgdrGGVY5eE8dmrxUKA,education,5,39,285321,0.532,0.154,6,-17.23,1,0.0748,0.851,0.0012,0.359,0.311,70.001,4
1uRwUQicwng6S44RtsANQv,education,5,49,287625,0.34,0.218,11,-14.892,1,0.0534,0.874,0.000136,0.0886,0.137,101.747,4
0gDRtumoR9ZrvAlnniToMz,education,5,66,269877,0.445,0.355,4,-7.351,1,0.0289,0.887,0.00179,0.322,0.366,135.525,4
3lel1ENtvzcRPziaCXYFTf,education,5,57,329337,0.485,0.189,0,-11.068,1,0.0421,0.757,0.0,0.113,0.294,129.132,4
4KfSdst7rW39C0sfhArdrz,education,5,75,261933,0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4
4yugZvBYaoREkJKtbG08Qr,education,5,79,211578,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4
7qrBYrivpvfXUPBMmqh3dA,education,5,69,136914,0.691,0.186,10,-13.672,0,0.0487,0.686,0.934,0.0762,0.548,86.383,4
6E44XejBm1JxzOSj1Sfdbl,education,5,14,138947,0.812,0.403,9,-8.448,0,0.232,0.35,0.447,0.106,0.382,75.89,4
5MxNLUsfh7uzROypsoO5qe,education,5,82,266960,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,4
2EqlS6tkEnglzr7tkKAAYD,education,5,80,259947,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4
39shmbIHICJ2Wxnk1fPSdz,education,5,81,188987,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,4
5ihS6UUlyQAfmp48eSkxuQ,education,4,79,199493,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
6dGnYIeXmHdcikdzNNDMm2,education,4,84,185733,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4
22AZDYG6qrjMFg0ceeL9X6,education,4,57,291108,0.292,0.308,4,-7.562,1,0.0305,0.671,2.22e-06,0.102,0.198,98.487,4
5Fh34BynBCRdmKVuI5edoO,education,4,47,231231,0.638,0.208,4,-14.335,1,0.0295,0.875,0.0164,0.322,0.221,129.984,4
6VqZS3Wmf53pbfDBVEYvnP,education,4,54,303937,0.283,0.281,11,-11.414,1,0.035,0.437,0.00114,0.102,0.127,79.919,4
1L4oNa8QzcnjvkjmUhJmjH,education,4,51,260867,0.586,0.24,7,-8.603,1,0.0296,0.84,2.96e-06,0.0897,0.237,121.95,4
3dLRK3SKATbzMd1tcAzsJz,education,4,52,341918,0.55,0.234,0,-10.264,1,0.0358,0.941,2.96e-06,0.0996,0.233,72.799,4
0V5cvmTKsYmF5FmGGEAfmS,education,4,87,160853,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,4
4rG3h1QwgjSSWz8EIjCFrm,education,4,72,313952,0.475,0.424,11,-8.39,1,0.0295,0.582,0.0,0.234,0.224,140.903,4
5l9g7py8RCblcvbZgGQgSd,education,4,69,227370,0.669,0.42,2,-8.464,1,0.0253,0.506,0.0,0.404,0.523,95.049,4
1dcNEEtODRVZEevQ20Cgmy,education,4,77,210355,0.62,0.547,1,-6.772,1,0.0248,0.112,0.0,0.19,0.208,98.032,4
4u8RkgV6P4TLi89SmlUtv8,education,4,70,349713,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,4
2v5VIWMjZxeiG52KckiXxS,education,4,72,306467,0.394,0.623,9,-5.029,1,0.0384,0.573,0.0,0.0937,0.316,115.003,4
7oK9VyNzrYvRFo7nQEYkWN,education,4,78,222587,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,4
2GiJYvgVaD2HtM8GqD9EgQ,education,4,85,218107,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
45S5WTQEGOB1VHr1Q4FuPl,education,4,87,208907,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4
5bgwqaRSS3M8WHWruHgSL5,education,4,81,228600,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,4
7woCxOw0jmj65ohlQ3x0tH,education,4,68,108000,0.788,0.446,6,-9.812,1,0.0693,0.54,0.694,0.273,0.545,80.033,4
5ehVOwEZ1Q7Ckkdtq0dY1W,education,4,10,195136,0.717,0.193,9,-16.141,0,0.0459,0.802,0.893,0.0653,0.0447,109.992,4
451EMYReoEHbfvj75Pu1B9,education,4,65,114203,0.79,0.446,9,-9.273,0,0.052,0.656,0.931,0.0933,0.222,80.002,4
7JgZbix8xDasAhbn3N7eIF,education,4,68,142183,0.843,0.256,7,-13.565,0,0.0752,0.538,0.114,0.133,0.655,68.997,4
4JLI9AgtAXutJvjlXgZBoR,education,4,65,108078,0.87,0.146,8,-11.877,0,0.22,0.499,0.941,0.105,0.889,80.087,4
5AMhWOPe771tlQQXaDC5sO,education,4,60,143415,0.729,0.308,10,-14.782,1,0.129,0.062,0.875,0.0981,0.669,163.977,4
5j6vt3vHU22A9nuuMlRnwA,education,4,62,118183,0.624,0.229,1,-15.698,0,0.046,0.354,0.47,0.116,0.395,130.069,4
2NcmCfgwjLcf4rakDK3pYZ,education,4,60,123016,0.592,0.37,0,-10.87,1,0.167,0.257,0.91,0.106,0.143,80.055,4
16gIddMz50QWTnVB44q3XX,education,4,59,82778,0.77,0.444,7,-9.09,1,0.0675,0.822,0.904,0.116,0.0647,75.0,4
3RjVTTJwqgKsNUImPBfmNT,education,4,60,91833,0.648,0.499,8,-9.724,1,0.0412,0.55,0.933,0.107,0.119,147.661,4
1jcQ040aWKeiUGJ2IcnFtV,education,4,62,191000,0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422,3
2m2GJpBjQNNphaCgBeoj7R,education,4,69,207640,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297,4
0jOnZhF75V68VsBObWx2XO,education,4,71,174267,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,3
4DMKwE2E2iYDKY01C335Uw,education,4,78,323000,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4
