id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0KNvJzxdbslBddN27BEhfm,church,5,63,217680,0.51,0.644,6,-5.567,1,0.0341,0.0821,0.0,0.191,0.293,76.001,4
5t0izTLPeWYLiIfHPJbORJ,church,5,1,385053,0.282,0.251,4,-10.648,0,0.0315,0.699,1.47e-05,0.11,0.11,129.826,4
6nkJ6jerrO6S4V0kdc4KRp,church,5,53,329080,0.269,0.666,6,-6.048,1,0.0362,0.000278,0.0,0.609,0.226,171.722,3
40TejHtJdQkd1nIxKf43CL,church,5,57,260367,0.292,0.738,11,-6.481,1,0.0563,0.0307,0.0,0.268,0.253,141.576,3
5O306r2a9Nl7rm5ZlaTqka,church,5,63,507307,0.416,0.583,11,-7.994,1,0.037,0.0383,0.0,0.116,0.185,140.001,4
2MobJagQB0dGJoRqI8OT0m,church,5,64,256933,0.459,0.561,7,-7.091,1,0.0271,0.0839,0.0,0.0998,0.306,144.783,4
7hbk4BaF66O09R1gq0bKwj,church,5,69,156520,0.644,0.568,9,-3.077,0,0.038,0.369,0.0,0.151,0.654,81.409,4
1qfoq1qvZT7VwDVeekCJ97,church,5,73,167373,0.504,0.503,7,-3.313,1,0.0422,0.388,0.0,0.0608,0.709,195.593,4
63Zaf8Rci6eOUPqDQ4fUFx,church,5,76,177791,0.724,0.443,7,-3.743,1,0.0329,0.73,0.0,0.101,0.763,97.194,4
6uYtv0KmSNBGFfaY7yW8tY,church,5,75,230811,0.84,0.638,1,-7.003,0,0.0324,0.278,0.000146,0.173,0.807,118.005,4
6iha1ZUpCGUJrrQLDSFYux,church,5,60,289747,0.457,0.362,0,-8.843,1,0.0279,0.637,2.77e-05,0.105,0.153,134.835,3
35jVid0Qi789ypoem4KMrs,church,5,53,222187,0.518,0.797,2,-6.116,1,0.0418,0.000906,0.0,0.105,0.607,157.913,4
5KcuLISuSBnMFAPVhFnHr5,church,5,70,187987,0.748,0.538,6,-3.877,0,0.0277,0.408,0.0,0.219,0.749,130.229,4
6SnO4yCCYtz2rffMpEAlro,church,5,70,176347,0.626,0.47,0,-2.984,1,0.0316,0.522,0.0,0.201,0.825,140.046,3
6qNSq6OKjNgXAn3Kj9HBKf,church,5,60,276400,0.497,0.542,5,-7.398,1,0.0315,0.16,1.4e-05,0.084,0.0707,93.57,4
79y4fe9RE0KtxXGj4WmRT5,church,5,63,319650,0.618,0.578,9,-8.106,1,0.0332,0.488,6.91e-05,0.394,0.351,126.124,4
5ginnoSCfGGn0TRKoZRtEq,church,5,35,300000,0.337,0.369,7,-8.689,0,0.0342,0.597,0.0,0.0887,0.158,112.117,1
57grEwbGqJc0XNXrV0O4Bs,church,5,45,193600,0.658,0.287,0,-14.057,1,0.0293,0.764,0.000915,0.0784,0.52,120.053,4
6BXej1JXrPgRIZQSRTK1rC,church,5,43,169973,0.54,0.262,7,-15.003,1,0.0298,0.688,2.14e-06,0.0933,0.493,109.848,4
6JV2JOEocMgcZxYSZelKcc,church,5,77,236002,0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,4
63VRwbx7NFWSxtyqSNb8Bn,church,5,43,198987,0.629,0.555,6,-5.282,1,0.0252,0.549,0.0,0.135,0.373,104.899,3
7wEIEqxdeyuvyVRwxMne33,church,5,39,310613,0.672,0.311,1,-8.427,0,0.0269,0.403,0.0,0.152,0.158,109.929,4
26G5yboxZToTvLJXeYeaZs,church,5,42,298800,0.577,0.408,9,-8.661,1,0.0272,0.509,0.0,0.155,0.159,131.921,4
5fSPbm5lcwtqwXkeQQswW8,church,4,66,179347,0.589,0.641,5,-8.12,1,0.0838,0.205,0.0,0.0864,0.57,160.031,4
71geaRAZ2M5w08T3kl5Xvs,church,4,55,233314,0.458,0.538,1,-8.49,1,0.0292,0.195,2.68e-06,0.199,0.521,139.987,3
0vBjd0I8iefycEZ2ex1Zpi,church,4,58,233947,0.68,0.536,5,-6.669,0,0.0582,0.0102,0.00105,0.113,0.417,119.958,4
3jWo2yhB8vq8c2OMgPg25D,church,4,52,235025,0.536,0.694,2,-5.928,1,0.0382,0.218,0.0,0.367,0.586,83.933,4
73ZSUS3WLluxgASR1Hp74B,church,4,58,197707,0.501,0.876,1,-6.324,1,0.0545,0.218,2.39e-05,0.157,0.228,103.974,4
2c87x3mBYuffK4ihylVwAG,church,4,58,207433,0.555,0.85,8,-4.056,1,0.0614,0.209,0.0,0.106,0.509,80.0,4
